,1.0-20.0,4.0-14.0,4.0-40.0
2019-12-02 11:45:00.000,1.63319415826e-09,6.93674808425e-10,7.81897495832e-10
2019-12-02 12:00:00.000,1.6425275186e-09,7.31433179786e-10,8.20698193503e-10
2019-12-02 12:15:00.000,1.64299366911e-09,7.45915914929e-10,8.29621319494e-10
2019-12-02 12:30:00.000,1.67926327039e-09,7.59356340955e-10,8.32556979246e-10
2019-12-02 12:45:00.000,1.62772826245e-09,6.89715354704e-10,7.65202309297e-10
2019-12-02 13:00:00.000,1.57311944241e-09,6.27620420386e-10,7.12073650815e-10
2019-12-02 13:15:00.000,1.62989239155e-09,6.72670356276e-10,7.54875145151e-10
2019-12-02 13:30:00.000,1.60188437688e-09,6.49167544483e-10,7.23164574661e-10
2019-12-02 13:45:00.000,1.79917771898e-09,5.38475264715e-10,6.42226814179e-10
2019-12-02 14:00:00.000,2.01351683518e-09,4.18179790995e-10,7.71639061051e-10
2019-12-02 14:15:00.000,1.52898168741e-09,3.77360671023e-10,5.53171800338e-10
2019-12-02 14:30:00.000,1.43918344506e-09,3.70818039458e-10,4.18396103885e-10
2019-12-02 14:45:00.000,1.62917349895e-09,4.47069842515e-10,5.04362632214e-10
2019-12-02 15:00:00.000,1.64046700318e-09,4.94147491484e-10,5.7472580461e-10
2019-12-02 15:15:00.000,1.59168844185e-09,4.61615233652e-10,5.51206900274e-10
2019-12-02 15:30:00.000,1.9078030406e-09,5.30005215502e-10,6.56520860665e-10
2019-12-02 15:45:00.000,1.77988400234e-09,6.12483976234e-10,7.16736363281e-10
2019-12-02 16:00:00.000,1.58852879498e-09,6.80199794009e-10,7.61217774001e-10
2019-12-02 16:15:00.000,1.5898997028e-09,7.08822454498e-10,7.92861766911e-10
2019-12-02 16:30:00.000,1.64554596279e-09,6.79043249918e-10,7.72597559075e-10
2019-12-02 16:45:00.000,1.63712411481e-09,7.09322755883e-10,7.94225261315e-10
2019-12-02 17:00:00.000,1.57221743403e-09,6.65527060656e-10,7.48388029735e-10
2019-12-02 17:15:00.000,1.65623562227e-09,8.14947369089e-10,8.8119803861e-10
2019-12-02 17:30:00.000,1.617836915e-09,7.09403577056e-10,7.96451327721e-10
2019-12-02 17:45:00.000,1.63806396878e-09,7.43337813586e-10,8.2766335378e-10
2019-12-02 18:00:00.000,1.67278899975e-09,7.49314264816e-10,8.32751555831e-10
2019-12-02 18:15:00.000,1.57499200116e-09,6.51392319119e-10,7.45526513545e-10
2019-12-02 18:30:00.000,2.33504758218e-09,5.85784298875e-10,1.00049487975e-09
2019-12-02 18:45:00.000,2.3719011735e-09,6.79150284225e-10,1.07096434421e-09
2019-12-02 19:00:00.000,1.57394571013e-09,6.97853207571e-10,8.04485714794e-10
2019-12-02 19:15:00.000,3.49631487779e-09,6.50649628375e-10,7.49224262386e-10
2019-12-02 19:30:00.000,2.43920557163e-09,5.03163833422e-10,5.76650719425e-10
2019-12-02 19:45:00.000,1.42253651587e-09,4.23450178314e-10,4.75121789554e-10
2019-12-02 20:00:00.000,1.34759393106e-09,4.29532399052e-10,4.82662509501e-10
2019-12-02 20:15:00.000,1.34293067196e-09,3.79683401024e-10,4.36677869821e-10
2019-12-02 20:30:00.000,1.30362544036e-09,3.36433300477e-10,3.95247167762e-10
2019-12-02 20:45:00.000,1.30239847827e-09,3.68841671389e-10,4.19892356778e-10
2019-12-02 21:00:00.000,1.31753496351e-09,3.84733147144e-10,4.3444493875e-10
2019-12-02 21:15:00.000,1.29762091164e-09,3.34559169948e-10,3.82546213631e-10
2019-12-02 21:30:00.000,1.24447433235e-09,3.36880469189e-10,3.81436895437e-10
2019-12-02 21:45:00.000,1.20107914311e-09,3.59737967753e-10,4.03276491692e-10
2019-12-02 22:00:00.000,1.18372187522e-09,3.28221531635e-10,3.70380583408e-10
2019-12-02 22:15:00.000,1.1815656375e-09,2.95148385831e-10,3.3195443264e-10
