,0.1-1.0,2.0-4.0,4.0-14.0,4.0-8.0,8.0-14.0
2019-11-01 18:30:01.580,1.97593816692e-07,1.60976256657e-10,6.07954975634e-11,4.76743981345e-11,3.75275487396e-11
2019-11-01 18:45:01.580,2.06088052938e-07,1.61438048732e-10,6.11103460391e-11,4.76403504307e-11,3.80431535632e-11
2019-11-01 19:00:01.580,2.11796420784e-07,1.59661055196e-10,6.05512508494e-11,4.76157430838e-11,3.71874476758e-11
2019-11-01 19:15:01.580,2.10170048751e-07,1.56416402385e-10,6.04199945248e-11,4.92906730796e-11,3.47371211911e-11
2019-11-01 19:30:01.580,2.25704521533e-07,1.48495075134e-10,5.55598865677e-11,4.55211158396e-11,3.16488949501e-11
2019-11-01 19:45:01.580,2.3795147905e-07,1.50776096577e-10,5.38011954616e-11,4.2812111486e-11,3.23926523806e-11
2019-11-01 20:00:01.580,2.43376682089e-07,1.53060083037e-10,5.04999655289e-11,4.20501570751e-11,2.7790427841e-11
2019-11-01 20:15:01.580,2.45676135777e-07,1.49837479755e-10,5.17134672984e-11,4.23030999912e-11,2.95617504277e-11
2019-11-01 20:30:01.580,2.50641680911e-07,1.43353645617e-10,5.38903826803e-11,4.21351293864e-11,3.33964396992e-11
2019-11-01 20:45:01.580,2.60057611103e-07,1.47670509603e-10,5.29135831656e-11,4.33862173925e-11,3.00291772754e-11
2019-11-01 21:00:01.580,2.75262618242e-07,1.49270668491e-10,5.20470749286e-11,4.24325465293e-11,2.98908913694e-11
2019-11-01 21:15:01.580,2.84324948275e-07,1.45950488909e-10,4.79188107839e-11,4.06866638777e-11,2.50862177675e-11
2019-11-01 21:30:01.580,2.93256475024e-07,1.41556068659e-10,4.69475016314e-11,4.02708436804e-11,2.39152486333e-11
2019-11-01 21:45:01.580,2.92345442974e-07,1.45334088266e-10,4.84624205836e-11,4.08081005449e-11,2.59414175877e-11
2019-11-01 22:00:01.580,3.15869348282e-07,1.46299833454e-10,4.73953522329e-11,4.07745349676e-11,2.39692820815e-11
2019-11-01 22:15:01.580,3.33763364008e-07,1.44299046667e-10,4.58298402366e-11,3.99604805163e-11,2.22497230835e-11
2019-11-01 22:30:01.580,3.34384507508e-07,1.50355122204e-10,4.53735705191e-11,3.93703130589e-11,2.2369609733e-11
2019-11-01 22:45:01.580,3.67515051163e-07,1.44784510582e-10,4.44857349788e-11,3.88521434636e-11,2.14503580193e-11
2019-11-01 23:00:01.580,3.63647599073e-07,1.39844919997e-10,4.27055612428e-11,3.67026525788e-11,2.16292408719e-11
2019-11-01 23:15:01.580,3.60180141786e-07,1.34741707259e-10,4.28048987977e-11,3.62539418497e-11,2.25744999239e-11
2019-11-01 23:30:01.580,3.80205578419e-07,1.3069844316e-10,4.20975712823e-11,3.6217716131e-11,2.12882764182e-11
2019-11-02 00:00:01.860,3.79645226237e-07,1.29285527878e-10,3.68395517657e-11,3.23490418526e-11,1.74509025281e-11
2019-11-02 00:15:01.860,3.98047726571e-07,1.29985299116e-10,3.5069504921e-11,3.1035255874e-11,1.61768705046e-11
2019-11-02 00:30:01.860,3.90985496983e-07,1.35901939634e-10,3.62637774977e-11,3.19926881725e-11,1.69078418724e-11
2019-11-02 00:45:01.860,4.02330045748e-07,1.33204510654e-10,3.79686699132e-11,3.34326556066e-11,1.78284957764e-11
2019-11-02 01:00:01.860,4.28968753551e-07,1.22344391679e-10,3.54091081324e-11,3.09898313901e-11,1.6969339557e-11
2019-11-02 01:15:01.860,4.09591503801e-07,1.21141357675e-10,3.41851133482e-11,2.99167833434e-11,1.63881571757e-11
2019-11-02 01:30:01.860,4.18130405047e-07,1.25412906271e-10,3.34551075487e-11,2.98551648788e-11,1.49136277589e-11
2019-11-02 01:45:01.860,4.31540485134e-07,1.27454416775e-10,3.54297605973e-11,2.9270432937e-11,1.98164995835e-11
2019-11-02 02:00:01.860,4.21329329501e-07,1.26068918178e-10,3.29465817398e-11,2.78354226395e-11,1.75022014245e-11
2019-11-02 02:15:01.860,4.51531961322e-07,1.24185287856e-10,3.11728169057e-11,2.78990819189e-11,1.3730293887e-11
