,4.0-14.0
2019-12-09 07:29:58.997999,32.3493359447
2019-12-09 07:44:58.997999,33.8247696642
2019-12-09 07:59:58.997999,37.8219469734
2019-12-09 08:14:58.997999,37.4359757243
2019-12-09 08:29:58.997999,39.3083709606
2019-12-09 08:44:58.997999,38.2279206883
2019-12-09 08:59:58.997999,38.3100956393
2019-12-09 09:14:58.997999,42.2650659083
2019-12-09 09:29:58.997999,46.662654464
2019-12-09 09:44:58.997999,50.4613615801
2019-12-09 09:59:58.997999,43.3865016421
2019-12-09 10:14:58.997999,45.4946677317
2019-12-09 10:29:58.997999,57.7505461056
2019-12-09 10:44:58.997999,63.1694418662
2019-12-09 10:59:58.997999,62.1632815114
2019-12-09 11:14:58.997999,70.0016741674
2019-12-09 11:29:58.997999,71.2888613465
2019-12-09 11:44:58.997999,66.5628509871
2019-12-09 11:59:58.997999,66.9996176592
2019-12-09 12:14:58.997999,84.2532468562
2019-12-09 12:29:58.997999,79.5619332633
2019-12-09 12:44:58.997999,60.4149328278
2019-12-09 12:59:58.997999,56.6511103531
2019-12-09 13:14:58.997999,57.2690596066
2019-12-09 13:29:58.997999,58.2024404488
2019-12-09 13:44:58.997999,58.0116511557
2019-12-09 13:59:58.997999,76.7280098118
2019-12-09 14:14:58.997999,69.9838417549
2019-12-09 14:29:58.997999,61.8845708096
2019-12-09 14:44:58.997999,72.5904076533
2019-12-09 14:59:58.997999,71.7756300196
2019-12-09 15:14:58.997999,69.9178853195
2019-12-09 15:29:58.997999,66.888712236
2019-12-09 15:44:58.997999,65.9168052014
2019-12-09 15:59:58.997999,66.7998451614
2019-12-09 16:14:58.997999,67.7168987091
2019-12-09 16:29:58.997999,68.3020912799
2019-12-09 16:44:58.997999,68.3823805537
2019-12-09 16:59:58.997999,63.5111842579
2019-12-09 17:14:58.997999,62.673811065
2019-12-09 17:29:58.997999,68.4123781041
2019-12-09 17:44:58.997999,72.6638680557
2019-12-09 17:59:58.997999,73.0937069574
2019-12-09 18:14:58.997999,74.214339251
2019-12-09 18:29:58.997999,66.4484498085
2019-12-09 18:44:58.997999,66.5350997322
2019-12-09 18:59:58.997999,63.5580985953
2019-12-09 19:14:58.997999,57.8192266158
2019-12-09 19:29:58.997999,67.7099140719
2019-12-09 19:44:58.997999,68.6992466057
2019-12-09 19:59:58.997999,59.3365314477
2019-12-09 20:14:58.997999,60.6548198822
2019-12-09 20:29:58.997999,58.1864519083
2019-12-09 20:44:58.997999,54.9051181019
2019-12-09 20:59:58.997999,49.8875883976
2019-12-09 21:14:58.997999,51.1985593383
2019-12-09 21:29:58.997999,46.7088207912
2019-12-09 21:44:58.997999,44.6811637413
2019-12-09 21:59:58.997999,46.7817783244
2019-12-09 22:14:58.997999,48.6099026149
