,4.0-14.0,5.0-20.0
2019-12-08 18:44:57.230000,4.06533873281e-09,3.43318739582e-09
2019-12-08 18:59:57.230000,3.59778701022e-09,2.90936479329e-09
2019-12-08 19:14:57.230000,3.39334366875e-09,2.76429722966e-09
2019-12-08 19:29:57.230000,3.5652914074e-09,2.99420742798e-09
2019-12-08 19:44:57.230000,3.75749944486e-09,3.13426962245e-09
2019-12-08 19:59:57.230000,4.25302459547e-09,3.74365661371e-09
2019-12-08 20:14:57.230000,3.26783649166e-09,2.75816052077e-09
2019-12-08 20:29:57.230000,2.54110593237e-09,2.03177647981e-09
2019-12-08 20:44:57.230000,3.41379153618e-09,2.58934614818e-09
2019-12-08 20:59:57.230000,4.45730629005e-09,3.5587011537e-09
2019-12-08 21:14:57.230000,3.45522850446e-09,2.9301387983e-09
2019-12-08 21:29:57.230000,2.31343471146e-09,1.78269655201e-09
2019-12-08 21:44:57.230000,2.16799564041e-09,1.66562970273e-09
2019-12-08 21:59:57.230000,2.26301458988e-09,1.69721115754e-09
2019-12-08 22:14:57.230000,2.24303669994e-09,1.70972753659e-09
2019-12-08 22:29:57.230000,2.46687754343e-09,1.93532353452e-09
2019-12-08 22:44:57.230000,2.49963457489e-09,1.92533772068e-09
2019-12-08 22:59:57.230000,1.95961262105e-09,1.48680918543e-09
2019-12-08 23:14:57.230000,1.84638302628e-09,1.48800951432e-09
2019-12-08 23:29:57.230000,1.62625116345e-09,1.30966651727e-09
2019-12-08 23:44:57.230000,2.29493812209e-09,2.07050970113e-09
2019-12-08 23:59:57.230000,2.47729413318e-09,2.30289408469e-09
2019-12-09 00:14:55.430000,1.17210622868e-09,8.97116639256e-10
2019-12-09 00:29:55.430000,1.23873566528e-09,9.69710733803e-10
2019-12-09 00:44:55.430000,1.2747280975e-09,9.69802573264e-10
2019-12-09 00:59:55.430000,1.36042398775e-09,9.60590892341e-10
2019-12-09 01:14:55.430000,1.85484913757e-09,1.53721863099e-09
2019-12-09 01:29:55.430000,3.17234847116e-09,2.98287814751e-09
2019-12-09 01:44:55.430000,2.60780283249e-09,2.09382047246e-09
2019-12-09 01:59:55.430000,2.88294727551e-09,2.33680351173e-09
2019-12-09 02:14:55.430000,1.82927098928e-09,1.28659888607e-09
2019-12-09 02:29:55.430000,2.28990811241e-09,1.81139915216e-09
2019-12-09 02:44:55.430000,2.77755838817e-09,2.14320653382e-09
2019-12-09 02:59:55.430000,2.74270781306e-09,2.00495907678e-09
2019-12-09 03:14:55.430000,4.67755728511e-09,3.86433435077e-09
2019-12-09 03:29:55.430000,6.28574330868e-09,5.22748797369e-09
2019-12-09 03:44:55.430000,5.27005424426e-09,4.22611393576e-09
2019-12-09 03:59:55.430000,7.59800046737e-09,5.63501281594e-09
2019-12-09 04:14:55.430000,8.53875654277e-09,6.51267694873e-09
2019-12-09 04:29:55.430000,8.84866721513e-09,6.71743635189e-09
2019-12-09 04:44:55.430000,1.08130249661e-08,8.44177147516e-09
2019-12-09 04:59:55.430000,1.10117255317e-08,8.41497530474e-09
2019-12-09 05:14:55.430000,1.27900425113e-08,9.44264654951e-09
2019-12-09 05:29:55.430000,1.19224831e-08,8.97449964068e-09
2019-12-09 05:44:55.430000,1.14947840111e-08,8.9071944118e-09
2019-12-09 05:59:55.430000,1.13631027742e-08,8.31222391558e-09
2019-12-09 06:14:55.430000,1.20909830105e-08,8.67577336515e-09
2019-12-09 06:29:55.430000,1.1898085133e-08,8.77210276314e-09
2019-12-09 06:44:55.430000,1.20565042668e-08,8.51691206688e-09
2019-12-09 06:59:55.430000,1.08816744206e-08,7.93229961608e-09
2019-12-09 07:14:55.430000,1.06714487834e-08,7.5653094653e-09
2019-12-09 07:29:55.430000,1.15112738904e-08,8.14298682461e-09
2019-12-09 07:44:55.430000,1.12713309728e-08,7.8128249202e-09
2019-12-09 07:59:55.430000,1.10460528515e-08,7.80732980317e-09
2019-12-09 08:14:55.430000,1.20970675315e-08,9.32477730306e-09
2019-12-09 08:29:55.430000,1.25896553592e-08,8.91191633827e-09
2019-12-09 08:44:55.430000,1.15900369231e-08,8.50850165652e-09
2019-12-09 08:59:55.430000,1.11859184529e-08,8.82446170889e-09
2019-12-09 09:14:55.430000,1.01279709086e-08,7.58775390346e-09
2019-12-09 09:29:55.430000,1.02476411232e-08,7.51681828831e-09
2019-12-09 09:44:55.430000,1.09219372727e-08,8.37037541331e-09
2019-12-09 09:59:55.430000,9.5185990607e-09,7.73127075356e-09
2019-12-09 10:14:55.430000,9.39527124769e-09,7.6949956368e-09
2019-12-09 10:29:55.430000,1.05916758421e-08,8.5458867494e-09
2019-12-09 10:44:55.430000,1.09299296592e-08,8.68414921552e-09
