Date,0.1-1.0,1.0-9.0,4.0-9.0
2019-11-30 05:59:59.019538,1.93673792771e-07,3.49519728509e-07,2.68785628377e-07
2019-11-30 06:14:59.019538,2.35200369626e-07,3.22418015935e-07,2.4056788368e-07
2019-11-30 06:29:59.019538,2.60862254535e-07,3.5237200635e-07,2.61786105833e-07
2019-11-30 06:44:59.019538,2.49906657004e-07,3.26901324668e-07,2.45224826221e-07
2019-11-30 06:59:59.019538,2.52457273815e-07,3.03350287378e-07,2.1741168085e-07
2019-11-30 07:14:59.019538,2.53864305656e-07,3.18312177511e-07,2.33247226077e-07
2019-11-30 07:29:59.019538,2.398878549e-07,3.23570687129e-07,2.27380509458e-07
2019-11-30 07:44:59.019538,2.34870303549e-07,3.37233717822e-07,2.50774968999e-07
2019-11-30 07:59:59.019538,2.20199599368e-07,3.23121607449e-07,2.50622289657e-07
2019-11-30 08:14:59.019538,2.07140420888e-07,3.13781955524e-07,2.40944982501e-07
2019-11-30 08:29:59.019538,1.9748524917e-07,3.29733035126e-07,2.59174339767e-07
2019-11-30 08:44:59.019538,2.06648916233e-07,3.19070137452e-07,2.47825955546e-07
2019-11-30 08:59:59.019538,2.05129967964e-07,3.54669013719e-07,2.94832347619e-07
2019-11-30 09:14:59.019538,1.95331987305e-07,3.17746022315e-07,2.52084491535e-07
2019-11-30 09:29:59.019538,1.87222410122e-07,4.05011025385e-07,3.5769071653e-07
2019-11-30 09:44:59.019538,1.74809184569e-07,3.57840348388e-07,3.15403033091e-07
2019-11-30 09:59:59.019538,1.60530006374e-07,3.13839679504e-07,2.7216310124e-07
2019-11-30 10:14:59.019538,1.51557344663e-07,2.73220255755e-07,2.28435983673e-07
2019-11-30 10:29:59.019538,1.55034848943e-07,2.26799417681e-07,1.73453617068e-07
2019-11-30 10:44:59.019538,1.43032624631e-07,1.91116266567e-07,1.46837181184e-07
2019-11-30 10:59:59.019538,1.31464161935e-07,1.76278177303e-07,1.40568992465e-07
2019-11-30 11:14:59.019538,1.22974870564e-07,2.09059504764e-07,1.80032680004e-07
2019-11-30 11:29:59.019538,1.25354017856e-07,2.15075863143e-07,1.87994070411e-07
2019-11-30 11:44:59.019538,1.28100695859e-07,1.82182474377e-07,1.5468496007e-07
2019-11-30 11:59:59.019538,1.26178517786e-07,1.65900157226e-07,1.37894471868e-07
2019-11-30 12:14:59.019538,1.23891483906e-07,1.54531181276e-07,1.27380804039e-07
2019-11-30 12:29:59.019538,1.12769734756e-07,2.40611621182e-07,2.25294427899e-07
2019-11-30 12:44:59.019538,1.1474290182e-07,2.238529202e-07,2.10324197294e-07
2019-11-30 12:59:59.019538,1.19228574834e-07,1.32167009876e-07,1.15078165767e-07
2019-11-30 13:14:59.019538,1.13754578436e-07,1.15071699456e-07,1.04321152131e-07
2019-11-30 13:29:59.019538,1.10925990041e-07,1.14639524127e-07,1.05286056879e-07
2019-11-30 13:44:59.019538,1.17384875839e-07,1.20470909897e-07,1.03035178749e-07
2019-11-30 13:59:59.019538,1.15924281148e-07,1.0477608496e-07,9.2705816187e-08
2019-11-30 14:14:59.019538,1.11289543551e-07,1.01526865904e-07,9.29932394518e-08
2019-11-30 14:29:59.019538,1.12427245092e-07,1.07409132838e-07,8.97179696006e-08
2019-11-30 14:44:59.019538,1.14518987581e-07,1.1853415742e-07,8.73533605327e-08
2019-11-30 14:59:59.019538,1.06414702956e-07,9.59709097915e-08,7.1681710133e-08
2019-11-30 15:14:59.019538,1.14058605867e-07,7.41614848945e-08,6.13659640463e-08
2019-11-30 15:29:59.019538,1.13274913308e-07,6.83823529937e-08,6.02776804405e-08
2019-11-30 15:44:59.019538,1.10124613532e-07,6.9623975123e-08,6.08601234072e-08
2019-11-30 15:59:59.019538,1.15840212112e-07,6.57342926346e-08,5.57540174037e-08
2019-11-30 16:14:59.019538,1.19150160908e-07,5.96269986066e-08,4.73825367354e-08
2019-11-30 16:29:59.019538,1.11301678362e-07,5.14845773312e-08,4.36536999245e-08
2019-11-30 16:44:59.019538,1.11053085823e-07,5.16103229108e-08,4.53175560104e-08
2019-11-30 16:59:59.019538,1.14507239963e-07,7.47578093266e-08,6.04034347485e-08
2019-11-30 17:14:59.019538,1.16818400655e-07,7.08255857768e-08,5.56939715117e-08
2019-11-30 17:29:59.019538,1.1343669027e-07,5.08162053299e-08,4.52582667425e-08
2019-11-30 17:44:59.019538,1.1939194965e-07,4.5607354907e-08,3.98647535099e-08
2019-11-30 17:59:59.019538,1.15742089122e-07,4.02632296177e-08,3.43873892733e-08
2019-11-30 18:14:59.019538,1.10873121254e-07,4.99102174859e-08,4.30147330149e-08
2019-11-30 18:29:59.019538,1.13916347654e-07,6.2710190435e-08,4.93962247082e-08
2019-11-30 18:44:59.019538,1.03001169312e-07,5.53795348765e-08,4.36103741888e-08
2019-11-30 18:59:59.019538,1.06473443883e-07,4.63894210693e-08,3.96373596843e-08
2019-11-30 19:14:59.019538,1.14773876509e-07,6.84140903929e-08,5.81443229413e-08
2019-11-30 19:29:59.019538,1.94524369847e-07,1.14075896233e-07,6.95901273274e-08
2019-11-30 19:44:59.019538,2.02296247816e-07,1.01748142391e-07,5.08511143324e-08
2019-11-30 19:59:59.019538,1.26966130878e-07,4.23910242326e-08,3.22986960265e-08
2019-11-30 20:14:59.019538,1.09940631446e-07,3.98860547182e-08,3.28119535164e-08
2019-11-30 20:29:59.019538,1.098602556e-07,7.40421568492e-08,5.26319880912e-08
2019-11-30 20:44:59.019538,1.14898088582e-07,1.15605537136e-07,8.04220292404e-08
2019-11-30 20:59:59.019538,1.13712157279e-07,1.04471135042e-07,8.6352010345e-08
2019-11-30 21:14:59.019538,1.12777790457e-07,9.32920594996e-08,8.4857065952e-08
2019-11-30 21:29:59.019538,1.14602530039e-07,1.04288678388e-07,9.52423762888e-08
2019-11-30 21:44:59.019538,1.02016623618e-07,1.04161931132e-07,9.73294215953e-08
2019-11-30 21:59:59.019538,1.0423391176e-07,9.88014586844e-08,9.27160205751e-08
2019-11-30 22:14:59.019538,1.06208039363e-07,1.19678128825e-07,1.118610197e-07
2019-11-30 22:29:59.019538,1.10870428344e-07,1.37874745734e-07,1.29428552043e-07
2019-11-30 22:44:59.019538,1.03933985062e-07,1.4646976255e-07,1.39193632781e-07
2019-11-30 22:59:59.019538,1.06322122146e-07,1.49001491497e-07,1.41677512718e-07
2019-11-30 23:14:59.019538,1.11517809657e-07,1.75829290193e-07,1.67272961593e-07
2019-11-30 23:29:59.019538,1.06959215491e-07,1.84675208251e-07,1.67988120189e-07
2019-11-30 23:44:59.019538,1.03441192826e-07,1.70512103131e-07,1.57529835677e-07
2019-11-30 23:59:59.019538,1.06925038756e-07,1.68788411527e-07,1.5680158608e-07
2019-12-01 00:14:59.019538,1.06424240196e-07,1.5694836952e-07,1.42909665066e-07
2019-12-01 00:29:59.019538,1.07031008155e-07,1.54195534109e-07,1.3891839073e-07
2019-12-01 00:44:59.019538,1.05851433509e-07,1.99612746604e-07,1.74089466477e-07
2019-12-01 00:59:59.019538,1.14253777645e-07,1.83408913994e-07,1.60649034001e-07
2019-12-01 01:14:59.019538,1.10392087594e-07,1.47881360483e-07,1.3020862674e-07
2019-12-01 01:29:59.019538,1.0505938084e-07,1.71709759256e-07,1.52592125641e-07
2019-12-01 01:44:59.019538,1.09542908997e-07,1.78037667108e-07,1.57701596638e-07
2019-12-01 01:59:59.019538,1.05903161857e-07,1.55345829981e-07,1.37532070185e-07
2019-12-01 02:14:59.019538,1.03468423633e-07,1.80912169109e-07,1.67118054224e-07
2019-12-01 02:29:59.019538,1.09716541835e-07,1.7889232462e-07,1.62969214249e-07
2019-12-01 02:44:59.019538,1.11900248777e-07,1.99304489097e-07,1.81682176729e-07
2019-12-01 02:59:59.019538,1.0405602849e-07,2.00976638793e-07,1.84763165262e-07
2019-12-01 03:14:59.019538,1.02727725835e-07,1.66934857681e-07,1.47158948734e-07
2019-12-01 03:29:59.019538,1.01171722816e-07,1.62181939881e-07,1.43942885235e-07
2019-12-01 03:44:59.019538,1.00019556292e-07,1.86254786241e-07,1.64357646222e-07
2019-12-01 03:59:59.019538,1.04209304991e-07,1.88081326444e-07,1.6759816491e-07
2019-12-01 04:14:59.019538,1.01827816624e-07,1.74498377502e-07,1.53656511364e-07
2019-12-01 04:29:59.019538,1.04437662791e-07,1.81427589965e-07,1.56317756998e-07
2019-12-01 04:44:59.019538,1.02810099448e-07,2.03132705736e-07,1.72231080165e-07
2019-12-01 04:59:59.019538,1.02386297481e-07,1.99576187694e-07,1.67531773181e-07
2019-12-01 05:14:59.019538,1.04467044478e-07,2.16221921397e-07,1.76540277066e-07
2019-12-01 05:29:59.019538,1.04809800611e-07,2.86654922577e-07,2.42569205859e-07
2019-12-01 05:44:59.019538,1.19360669725e-07,2.66929802384e-07,2.09585800809e-07
2019-12-01 05:59:59.019538,1.22461309153e-07,2.83860888463e-07,2.20929947378e-07
2019-12-01 06:14:59.019538,1.25853637919e-07,2.47274592274e-07,1.94004772858e-07
2019-12-01 06:29:59.019538,1.26572920394e-07,2.14364838517e-07,1.56263189528e-07
2019-12-01 06:44:59.019538,1.21371120598e-07,2.1770580788e-07,1.60538046611e-07
2019-12-01 06:59:59.019538,1.2461730782e-07,2.1149832708e-07,1.57445600711e-07
2019-12-01 07:14:59.019538,1.26820772748e-07,2.18474242949e-07,1.69144097138e-07
2019-12-01 07:29:59.019538,1.20654481789e-07,2.21508547922e-07,1.79058111457e-07
2019-12-01 07:44:59.019538,1.21099611892e-07,2.54104460672e-07,2.20468386721e-07
