,4.0-14.0
2019-12-03 16:00:00,1.54279607962e-08
2019-12-03 16:15:00,1.55977138941e-08
2019-12-03 16:30:00,1.56395141171e-08
2019-12-03 16:45:00,1.57478676238e-08
2019-12-03 17:00:00,1.54907704389e-08
2019-12-03 17:15:00,1.52018458234e-08
2019-12-03 17:30:00,1.4398612381e-08
2019-12-03 17:45:00,1.4146689045e-08
2019-12-03 18:00:00,1.45113495647e-08
2019-12-03 18:15:00,1.47325414255e-08
2019-12-03 18:30:00,1.47324072115e-08
2019-12-03 18:45:00,1.42181554766e-08
2019-12-03 19:00:00,1.43026416837e-08
2019-12-03 19:15:00,1.37670734695e-08
2019-12-03 19:30:00,1.36701226443e-08
2019-12-03 19:45:00,1.42281789381e-08
2019-12-03 20:00:00,1.35662816452e-08
2019-12-03 20:15:00,1.28555527789e-08
2019-12-03 20:30:00,1.29684752482e-08
2019-12-03 20:45:00,1.31428570878e-08
2019-12-03 21:00:00,1.25020182414e-08
2019-12-03 21:15:00,1.19585789247e-08
2019-12-03 21:30:00,1.09577825367e-08
2019-12-03 21:45:00,8.96807099721e-09
2019-12-03 22:00:00,7.87422325428e-09
2019-12-03 22:15:00,7.72841292947e-09
2019-12-03 22:30:00,8.14741448964e-09
2019-12-03 22:45:00,7.58249082256e-09
2019-12-03 23:00:00,7.31584613995e-09
2019-12-03 23:15:00,7.70226332549e-09
2019-12-03 23:30:00,6.55199834114e-09
2019-12-03 23:45:00,5.52486360778e-09
2019-12-04 00:00:00,5.08498082315e-09
2019-12-04 00:15:00,4.50731378685e-09
2019-12-04 00:30:00,4.92636656108e-09
2019-12-04 00:45:00,4.52173469806e-09
2019-12-04 01:00:00,4.15844560759e-09
2019-12-04 01:15:00,3.90959898546e-09
2019-12-04 01:30:00,3.96132626647e-09
2019-12-04 01:45:00,3.86666270176e-09
2019-12-04 02:00:00,3.98426055697e-09
2019-12-04 02:15:00,4.54215321919e-09
2019-12-04 02:30:00,4.05401298746e-09
2019-12-04 02:45:00,4.20733267142e-09
2019-12-04 03:00:00,4.04516299058e-09
2019-12-04 03:15:00,4.2052987379e-09
2019-12-04 03:30:00,4.22043791882e-09
2019-12-04 03:45:00,4.19224426056e-09
2019-12-04 04:00:00,4.84823303092e-09
2019-12-04 04:15:00,5.7312649384e-09
2019-12-04 04:30:00,5.89941141119e-09
2019-12-04 04:45:00,7.10157143279e-09
2019-12-04 05:00:00,8.14289129567e-09
2019-12-04 05:15:00,9.90425466687e-09
2019-12-04 05:30:00,1.03025439873e-08
2019-12-04 05:45:00,1.13657583579e-08
2019-12-04 06:00:00,1.36947204588e-08
2019-12-04 06:15:00,1.49503117509e-08
2019-12-04 06:30:00,1.53494271211e-08
2019-12-04 06:45:00,1.57804929928e-08
2019-12-04 07:00:00,1.53725228227e-08
2019-12-04 07:15:00,1.57948598713e-08
2019-12-04 07:30:00,1.54272650559e-08
2019-12-04 07:45:00,1.56547959533e-08
2019-12-04 08:00:00,1.56681219159e-08
2019-12-04 08:15:00,1.63966401546e-08
2019-12-04 08:30:00,1.66011767299e-08
2019-12-04 08:45:00,1.65988626021e-08
2019-12-04 09:00:00,1.65359763484e-08
2019-12-04 09:15:00,1.71690415922e-08
2019-12-04 09:30:00,1.68857237025e-08
2019-12-04 09:45:00,1.70081303805e-08
2019-12-04 10:00:00,1.69144375119e-08
2019-12-04 10:15:00,1.6268224554e-08
2019-12-04 10:30:00,1.63617515363e-08
2019-12-04 10:45:00,1.61663507718e-08
2019-12-04 11:00:00,1.62173296675e-08
2019-12-04 11:15:00,1.66207776614e-08
2019-12-04 11:30:00,1.67481908661e-08
2019-12-04 11:45:00,1.611528333e-08
2019-12-04 12:00:00,1.5836681903e-08
2019-12-04 12:15:00,1.59985654159e-08
2019-12-04 12:30:00,1.62334346591e-08
2019-12-04 12:45:00,1.55714255737e-08
2019-12-04 13:00:00,1.55926442906e-08
2019-12-04 13:15:00,1.57128171551e-08
2019-12-04 13:30:00,1.5616744917e-08
2019-12-04 13:45:00,1.60853409033e-08
2019-12-04 14:00:00,1.53764666805e-08
2019-12-04 14:15:00,1.546234723e-08
2019-12-04 14:30:00,1.63409220348e-08
2019-12-04 14:45:00,1.54641096811e-08
