,1.0-20.0,4.0-14.0,4.0-40.0
2019-12-25 03:30:00.005000,9.97710556609e-08,2.70679084007e-08,2.82848943916e-08
2019-12-25 03:45:00.005000,8.19915138896e-08,2.3519342253e-08,2.45142209315e-08
2019-12-25 04:00:00.005000,9.39062433617e-08,2.96603631332e-08,3.05865307595e-08
2019-12-25 04:15:00.005000,8.95774730373e-08,3.21164589381e-08,3.30625287e-08
2019-12-25 04:30:00.005000,6.35650871334e-08,2.67822659263e-08,2.73834703021e-08
2019-12-25 04:45:00.005000,5.94425494559e-08,2.51344931883e-08,2.57369427518e-08
2019-12-25 05:00:00.005000,5.64051489352e-08,1.81732412378e-08,1.89108844286e-08
2019-12-25 05:15:00.005000,5.77968373998e-08,1.89288472967e-08,1.96391918863e-08
2019-12-25 05:30:00.005000,5.83885139183e-08,1.95610177761e-08,2.02973473023e-08
2019-12-25 05:45:00.005000,5.55807025774e-08,1.86042846794e-08,1.92680620974e-08
2019-12-25 06:00:00.005000,5.25327834019e-08,1.69983277116e-08,1.76789097708e-08
2019-12-25 06:15:00.005000,5.36201498066e-08,1.71589593251e-08,1.77556089014e-08
2019-12-25 06:30:00.005000,5.61179272479e-08,1.76837015876e-08,1.82777648234e-08
2019-12-25 06:45:00.005000,5.83306953354e-08,1.79586491499e-08,1.86795642089e-08
2019-12-25 07:00:00.005000,5.66731361853e-08,1.70068567838e-08,1.76843592076e-08
2019-12-25 07:15:00.005000,5.74227718893e-08,1.64332837735e-08,1.70691618724e-08
2019-12-25 07:30:00.005000,5.92159963071e-08,1.68093736841e-08,1.75883707527e-08
2019-12-25 07:45:00.005000,5.81901463571e-08,1.67028976069e-08,1.75817635891e-08
2019-12-25 08:00:00.005000,5.94323322178e-08,1.731815548e-08,1.81783515858e-08
2019-12-25 08:15:00.005000,5.96300697803e-08,1.76894258399e-08,1.84727177725e-08
2019-12-25 08:30:00.005000,5.70931691071e-08,1.78321139949e-08,1.85359470871e-08
2019-12-25 08:45:00.005000,5.78100423456e-08,1.84083836382e-08,1.91030896004e-08
2019-12-25 09:00:00.005000,5.95619220347e-08,1.92616779953e-08,1.99359222089e-08
2019-12-25 09:15:00.005000,5.96264304103e-08,2.08377134639e-08,2.19159364476e-08
2019-12-25 09:30:00.005000,6.0574710596e-08,2.37522541509e-08,2.46936500533e-08
2019-12-25 09:45:00.005000,6.15305448198e-08,2.48603750261e-08,2.53884216036e-08
2019-12-25 10:00:00.005000,6.30610820991e-08,2.20726713631e-08,2.29059298288e-08
2019-12-25 10:15:00.005000,6.25441197869e-08,2.11079210308e-08,2.19041639089e-08
2019-12-25 10:30:00.005000,5.8765687273e-08,2.14605684405e-08,2.21442440287e-08
2019-12-25 10:45:00.005000,5.66120877074e-08,2.14281211709e-08,2.21250610576e-08
2019-12-25 11:00:00.005000,5.49073961986e-08,1.89809646736e-08,1.95512954463e-08
2019-12-25 11:15:00.005000,5.4478255765e-08,1.93198660601e-08,1.98230329594e-08
2019-12-25 11:30:00.005000,5.45588551675e-08,1.86299846086e-08,1.92327175599e-08
2019-12-25 11:45:00.005000,5.29680223594e-08,1.80079215524e-08,1.87736622341e-08
2019-12-25 12:00:00.005000,5.16415296404e-08,1.6075382971e-08,1.67326477214e-08
2019-12-25 12:15:00.005000,8.72634249071e-08,1.60600478766e-08,1.70086240413e-08
2019-12-25 12:30:00.005000,8.73479740019e-08,1.57589245175e-08,1.65283829534e-08
2019-12-25 12:45:00.005000,5.29696912231e-08,1.4947723738e-08,1.55876349779e-08
2019-12-25 13:00:00.005000,5.18033297662e-08,1.58316203919e-08,1.65629355037e-08
2019-12-25 13:15:00.005000,5.59224999631e-08,1.72072789982e-08,1.82129350164e-08
