,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0,10.0-30.0
2020-04-20 16:14:59.000000,2.77362107653e-07,8.62218720394e-09,3.23813176717e-09,6.63333647486e-09,3.05522506155e-08
2020-04-20 16:29:59.000000,2.81413257964e-07,8.96600102534e-09,3.30386681153e-09,6.66660371894e-09,2.99409957887e-08
2020-04-20 16:44:59.000000,2.79006626888e-07,9.06190886489e-09,3.44052373416e-09,6.83392850841e-09,3.08782235158e-08
2020-04-20 16:59:59.000000,2.77819616757e-07,9.01875751051e-09,3.56364691698e-09,6.97330183944e-09,3.08638946374e-08
2020-04-20 17:14:59.000000,2.63026807591e-07,8.51065013217e-09,3.3967073942e-09,6.83300539023e-09,3.1546857807e-08
2020-04-20 17:29:59.000000,2.68369913122e-07,8.58531311411e-09,3.59285692566e-09,6.85530850536e-09,3.09805412193e-08
2020-04-20 17:44:59.000000,2.74840963323e-07,8.37513073054e-09,3.46192964178e-09,6.74786805756e-09,3.04974145327e-08
2020-04-20 17:59:59.000000,2.67940214265e-07,8.55966644631e-09,3.09643772156e-09,6.58670627673e-09,3.13419417079e-08
2020-04-20 18:14:59.000000,2.73049440053e-07,8.91194086578e-09,3.45995171324e-09,6.98506753042e-09,3.16697479162e-08
2020-04-20 18:29:59.000000,2.72730305681e-07,8.77597334102e-09,3.40519148368e-09,6.95154690498e-09,3.03232337593e-08
2020-04-20 18:44:59.000000,2.66031172934e-07,9.43054612449e-09,4.30670327577e-09,7.3158769837e-09,3.24250846209e-08
2020-04-20 18:59:59.000000,2.72227523503e-07,8.94733353436e-09,4.13849779956e-09,7.2541855926e-09,3.23858344223e-08
2020-04-20 19:14:59.000000,2.60080634609e-07,8.07227528338e-09,3.11448933392e-09,6.54251460011e-09,3.07487817204e-08
2020-04-20 19:29:59.000000,2.57736870975e-07,8.27011248662e-09,3.22518780933e-09,6.67885224239e-09,2.97853753823e-08
2020-04-20 19:44:59.000000,2.62956299103e-07,8.70901241487e-09,3.50123828137e-09,6.83903447134e-09,3.00094524618e-08
2020-04-20 19:59:59.000000,2.6256224379e-07,8.40053210656e-09,3.42829685663e-09,6.5763031565e-09,2.79351974172e-08
2020-04-20 20:14:59.000000,2.65783028839e-07,8.44245233278e-09,3.32789479957e-09,6.93758964742e-09,3.02068717022e-08
2020-04-20 20:29:59.000000,2.75376636287e-07,8.45907233428e-09,3.26629438842e-09,6.79970343003e-09,3.1272304848e-08
2020-04-20 20:44:59.000000,2.76589759835e-07,7.90264675144e-09,3.05946733388e-09,6.44237522878e-09,2.75176564785e-08
2020-04-20 20:59:59.000000,2.83928228885e-07,7.82065240175e-09,3.12318588962e-09,6.52331452979e-09,3.01589936655e-08
2020-04-20 21:14:59.000000,3.03975606874e-07,7.68964634636e-09,3.20221773905e-09,6.56921081716e-09,3.23691017233e-08
2020-04-20 21:29:59.000000,2.8578175902e-07,7.58181624609e-09,3.14524415902e-09,6.63949765479e-09,3.31531156961e-08
2020-04-20 21:44:59.000000,2.90544315627e-07,7.78199755701e-09,3.62565070517e-09,6.9570731605e-09,3.22906476101e-08
2020-04-20 21:59:59.000000,2.92850515432e-07,7.54874249872e-09,3.57194785947e-09,6.7204300077e-09,2.84199591152e-08
2020-04-20 22:14:59.000000,2.94589009149e-07,7.50017136709e-09,2.90577886787e-09,6.62379917803e-09,3.04350680808e-08
2020-04-20 22:29:59.000000,3.00948633274e-07,7.41467713921e-09,2.85663111644e-09,6.54387727777e-09,3.00350701683e-08
2020-04-20 22:44:59.000000,3.13325157783e-07,7.14840015903e-09,2.62192369878e-09,6.36226586877e-09,3.12197304954e-08
2020-04-20 22:59:59.000000,3.14969356412e-07,6.98866441317e-09,2.74931633039e-09,6.30351169201e-09,3.07110246547e-08
2020-04-20 23:14:59.000000,3.16395318151e-07,7.03509886782e-09,2.76515659825e-09,6.3336167223e-09,3.01441219549e-08
2020-04-20 23:29:59.000000,3.19581584187e-07,7.09699167245e-09,2.8921992375e-09,6.55841833474e-09,3.19503851435e-08
2020-04-20 23:44:59.000000,3.26169627337e-07,7.14502476239e-09,2.74438036213e-09,6.60210363089e-09,3.28293455389e-08
2020-04-20 23:59:59.000000,3.15684983492e-07,6.82728767226e-09,1.86509837055e-09,6.39221374858e-09,3.16239577801e-08
2020-04-21 00:14:59.000000,3.30719657117e-07,6.63270054133e-09,1.94698025107e-09,5.96550684496e-09,2.98130891917e-08
2020-04-21 00:29:59.000000,3.23639847974e-07,6.81380048899e-09,1.82717811824e-09,5.97780708243e-09,3.03510407174e-08
2020-04-21 00:44:59.000000,3.3735625069e-07,6.69842559736e-09,1.62412093239e-09,6.12236894952e-09,3.06207052272e-08
2020-04-21 00:59:59.000000,3.49811886072e-07,6.7567038652e-09,2.14740114815e-09,6.22806151787e-09,3.05168102414e-08
2020-04-21 01:14:59.000000,3.37209211246e-07,6.74912378369e-09,2.22779917941e-09,6.22765761752e-09,3.04437208423e-08
2020-04-21 01:29:59.000000,3.38311558759e-07,6.52623400402e-09,1.63932399113e-09,6.09591303173e-09,2.98357284968e-08
2020-04-21 01:44:59.000000,3.54874688458e-07,6.60563065295e-09,1.63161746945e-09,6.17184171821e-09,3.04534622095e-08
2020-04-21 01:59:59.000000,3.51545115434e-07,6.5189273295e-09,1.63471950358e-09,6.02933783425e-09,3.10641404697e-08
2020-04-21 02:14:59.000000,3.36952711408e-07,6.65288980111e-09,1.49239163252e-09,6.18128175095e-09,3.33110560622e-08
2020-04-21 02:29:59.000000,3.44552562666e-07,6.88206282595e-09,1.56271349513e-09,6.24585565799e-09,3.11670007912e-08
2020-04-21 02:44:59.000000,3.4374157659e-07,7.18397847644e-09,1.70424853566e-09,6.47578038735e-09,3.31604438469e-08
